epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,10259.8,0.68287,0.31723,1.0614,0.96881,0.98505,0.99289,0.83488,0.69825,0.28617,1.07968,0.000284,0.000284,0.000284
106,10357.8,0.6903,0.31802,1.06332,0.96962,0.98249,0.99286,0.83495,0.7015,0.28864,1.08024,0.0002675,0.0002675,0.0002675
107,10455.6,0.68177,0.31708,1.05674,0.96884,0.98458,0.99291,0.83754,0.70354,0.28952,1.08698,0.000251,0.000251,0.000251
108,10553.2,0.68125,0.31618,1.05929,0.96964,0.98329,0.99284,0.83841,0.70246,0.28928,1.08662,0.0002345,0.0002345,0.0002345
109,10651.3,0.68407,0.31832,1.06164,0.96962,0.98259,0.99291,0.8374,0.69974,0.28884,1.08588,0.000218,0.000218,0.000218
110,10749.2,0.67228,0.30987,1.0601,0.96966,0.98387,0.99293,0.83861,0.69907,0.28932,1.08101,0.0002015,0.0002015,0.0002015
111,10870.5,0.63675,0.2664,1.04191,0.97878,0.9736,0.99296,0.83565,0.7011,0.28845,1.08662,0.000185,0.000185,0.000185
112,10967.6,0.62835,0.26134,1.03601,0.98309,0.97126,0.99327,0.83886,0.69979,0.28635,1.08652,0.0001685,0.0001685,0.0001685
113,11065.6,0.62805,0.25704,1.03267,0.98477,0.96691,0.99292,0.8385,0.69964,0.28438,1.08851,0.000152,0.000152,0.000152
114,11163.2,0.62628,0.25486,1.03188,0.98739,0.96922,0.99319,0.83799,0.6984,0.28298,1.08544,0.0001355,0.0001355,0.0001355
115,11260.3,0.61826,0.25269,1.02532,0.98765,0.96658,0.99323,0.83814,0.69909,0.28209,1.08493,0.000119,0.000119,0.000119
116,11357.8,0.62202,0.25201,1.02566,0.98452,0.9701,0.99337,0.8386,0.69898,0.2823,1.08355,0.0001025,0.0001025,0.0001025
117,11455.5,0.61897,0.25213,1.03231,0.98216,0.96842,0.99323,0.83997,0.70143,0.28056,1.08605,8.6e-05,8.6e-05,8.6e-05
118,11553,0.61381,0.25044,1.02605,0.9742,0.97713,0.99319,0.83872,0.70078,0.28013,1.08704,6.95e-05,6.95e-05,6.95e-05
119,11650.1,0.61286,0.24746,1.02402,0.97137,0.98478,0.99324,0.838,0.69986,0.28016,1.08575,5.3e-05,5.3e-05,5.3e-05
120,11747.6,0.6147,0.24897,1.02907,0.9696,0.98184,0.99314,0.83748,0.69889,0.28047,1.08467,3.65e-05,3.65e-05,3.65e-05
